age,risk
25,0.869565217
26,0.869565217
27,1.086956522
28,1.413043478
29,1.739130435
30,2.06049149308696
31,2.46980676333333
32,2.92199488523529
33,3.369565217
34,3.71541501981818
35,4.38735177863636
36,5.14177693739131
37,5.9782608695
38,6.739130435
39,7.35177865636364
40,8.768115942
41,9.565217391
42,11.1067193654545
43,11.9757033252941
44,12.9446640327273
45,14.4071146263636
46,16.41304348
47,17.7109974429412
48,19.4268774718182
49,21.3427110005882
51,25.0966183555556
52,27.0557655973913
53,28.8735177872727
54,30.2237851652941
55,31.8972332009091
56,33.3514492783333
57,34.5460358047059
58,35.4253308143478
59,36.30434783
60,37.1920289833333
61,37.898550725
62,38.7723785182353
63,39.5380434775
64,40.4800724641667
65,41.5513833981818
66,42.5889328045455
67,43.58695652
68,44.4181585676471
69,45.4800724641667
70,46.5398550716667
71,47.8452685452941
72,48.7450592881818
73,49.8550724666667
74,50.7864450170588
75,52.06521739
76,52.9156010247059
77,54.0036231883333
78,54.9011857727273
79,55.8317580373913
80,57.010869565
