age,risk
50,24.7282608725
51,27.0471014483333
52,28.8224637716667
53,30.6324110645455
54,31.73913043
55,33.6363636336364
56,35.3900255776471
57,36.7278860568966
58,37.5889328045455
59,38.7450592881818
60,39.6376811566667
61,40.73671498
62,41.5307971008333
63,42.3097826125
64,43.2518115983333
65,44.4664031627273
66,45.6285444247826
67,46.79347826
68,47.8196930929412
69,48.7862318866667
70,50.1902173933333
71,51.5942028966667
72,52.6581027636364
73,53.9492753633333
74,55.0395256909091
75,56.19565217
76,57.4184782625
77,58.3605072491667
78,59.5256916990909
79,60.4219948864706
80,61.684782605
