age,risk
37,5.570652174
38,6.503623188
39,6.91699604736364
40,7.92199488523529
41,9.130434783
42,10.32608696
43,11.2258454088889
44,12.2953964235294
45,14.0792838858824
46,15.7544757047059
56,33.4590792841176
57,34.9698067638889
58,35.8759590817647
59,36.95652174
60,37.9710144933333
61,39.0036231883333
62,39.9505928863636
63,40.679347825
64,41.8414322276471
65,42.84782609
66,44.3115942033333
67,45.163043475
68,46.4328063254545
69,47.2192028983333
70,48.5933503817647
71,49.6467391275
72,50.97826087
73,51.8840579733333
74,52.9166666683333
75,54.0601023005882
76,55.326086955
77,56.2409420283333
78,57.1343873490909
79,58.2480818452941
80,59.13043478
