age,risk
48,18.204849805
49,19.8878031125
50,21.9869706825
51,23.6600533009091
52,25.5848386154545
53,27.2402120411765
54,28.33876221
55,29.902280132
56,31.342743395
57,32.0402724336364
58,32.8479274447059
59,33.3569371647826
60,33.8889953388235
61,34.220837466087
62,34.6422970205556
63,35.07057546
64,35.3540837261111
65,35.8404895845455
66,36.37350706
67,36.862106405
68,37.5876024072727
69,37.89359392
70,38.4998190366667
71,39.0698516083333
72,39.59251453
73,40.1029127121739
74,40.71661238
75,41.47665581
76,42.37242128
77,43.2048498033333
78,43.83981606
79,44.57431181
80,0
