age,risk
36,2.17793957958823
37,2.605863192
38,2.931596091
39,3.18179672356522
40,3.74273487870588
41,4.49000447052941
42,4.93708884170588
43,5.63964999641177
44,6.46941729958334
45,7.30431349372727
46,8.469055375
47,9.37715921463637
48,10.5715131745455
49,11.7444806325
50,13.5179153075
51,14.9656170875
52,16.2471621754545
53,17.51719146
54,18.7136743964706
55,20.1362155754545
56,21.5970782763636
57,22.8646398808333
58,24.0252689736364
59,25.0222090581818
60,26.094824465
61,27.5096239245455
62,28.6325605129412
63,29.7231270325
64,30.7727108191667
65,32.3166518618182
66,33.9124140433333
67,35.124864275
68,36.2353173390909
69,37.5196042955556
70,38.9884183858333
71,40.4292009964706
72,41.69381107
73,43.1415128466667
74,44.3391570445455
75,45.7111835
76,47.0930806463636
77,48.4708649991667
78,49.5804955054545
79,50.5460816247059
80,51.791530945
