age,risk
53,16.7900503436364
54,17.915309445
55,19.6229394890909
56,20.9373868983333
57,22.3217517208333
58,23.1566479109091
59,24.32138979
60,25.4252623933333
61,26.38436482
62,27.5877669166667
63,28.4744842575
64,29.6869344891667
65,30.9643667972727
66,32.4252294936364
67,33.5504886
68,34.74484256
69,35.5953673525
70,37.1968874408333
71,38.5269634466667
72,39.95656895
73,41.0785378233333
74,42.5328200590909
75,43.9838120636364
76,45.0301056190909
77,46.2993123391667
78,47.4582963145455
79,48.4058829327273
80,49.72855592
