age,risk
44,4.693998812
45,5.86254703881818
46,6.97167756
47,7.86294315718182
48,8.75420875436364
49,10.030864195
50,11.81917211
51,13.92519971
52,15.3776325316667
53,17.02977487
54,18.08278867
55,19.4097841136364
56,20.6872648081818
57,21.7963953218182
58,22.6771754452941
59,23.2521291345455
60,23.85620915
61,24.27378359
62,24.6278140858333
63,25.16339869
64,25.59912854
65,26.03485839
66,26.3418498681818
67,26.79738562
68,27.34204793
69,27.6053013791667
70,28.10457516
71,28.43137255
72,28.75816993
73,29.3754538866667
74,29.73856209
75,30.2337096454545
76,30.61002179
77,31.0033890066667
78,31.37254902
79,31.73565723
80,0
