age,risk
47,6.18494311322222
48,7.06245461166666
49,7.81109829558824
50,9.531590414
51,10.98402324
52,12.3819898333333
53,13.5967518281818
54,14.59694989
55,15.838779954
56,17.1477850391667
57,17.7658942409091
58,18.40958606
59,19.06318083
60,19.3524152927586
61,19.8136044533333
62,20.2119231554545
63,20.58823529
64,21.014887435
65,21.35076253
66,21.67755991
67,22.11328976
68,22.5618351935294
69,22.9060760094444
70,23.32970225
71,23.63834423
72,23.74727669
73,24.1466957166667
74,24.61873638
75,25.05446623
76,25.49019608
77,25.81699346
78,26.1181596829412
79,26.36165577
80,26.79738562
