age,risk
35,0.871459695
36,0.980392157
37,1.089324619
38,1.23029604011765
39,1.307189542
40,1.74291939
41,2.069716776
42,2.505446623
43,2.941176471
44,2.941176471
45,3.376906318
46,3.812636166
47,4.248366013
48,4.684095861
49,4.69317356608333
50,5.1470588235
51,5.446623094
52,5.882352941
53,6.318082789
54,6.862745098
55,7.59556347772727
56,7.98410867641176
57,8.66920842416667
58,9.16955017264706
59,9.694989107
60,10.45751634
61,11.1507229136364
62,11.7151911254545
63,12.20043573
64,13.1626724783333
65,13.6858783927273
66,14.27015251
67,14.70588235
68,15.5476331972727
69,15.90413943
70,16.4167627811765
71,17.21132898
72,17.75599129
73,18.30065359
74,18.73638344
75,19.38997821
76,19.82570806
77,20.470225125
78,20.9983339729412
79,21.49600581
80,21.94989107
