"age","risk"
0,0
8,0
13,0.006374502
14,0.0118636564444444
15,0.019123506
19,0.024701195
21,0.024701195
26,0.024701195
32,0.024701195
40,0.024701195
43,0.024701195
51,0.024701195
58,0.024701195
66,0.024701195
68,0
