age,risk
0,0
4,0
17,0
18,0.00147929
20,0.00246548333333333
21,0.00340765017857143
22,0.00443787
23,0.00591716
24,0.00739645
25,0.00887574
26,0.01035503
27,0.0121513105
28,0.014792899
29,0.0166596220952381
30,0.019230769
31,0.0208685543571429
32,0.023668639
33,0.0255862371481481
34,0.0279480136428571
35,0.029585799
36,0.0328613697142857
37,0.036982249
38,0.039940828
39,0.0442202026428571
40,0.050295858
41,0.0574105384761905
42,0.0642434484285715
43,0.0729235151481481
44,0.0825232462857143
45,0.093195266
46,0.102387996714286
47,0.113060017214286
48,0.122464074285714
49,0.132237954642857
50,0.142011834
51,0.151204564714286
52,0.160397295428571
53,0.169801352285714
54,0.179575232642857
55,0.189349112
56,0.198541842714286
57,0.207734573428571
58,0.216821639571429
59,0.226912510642857
60,0.236686391
61,0.245879120714286
62,0.255071851428571
63,0.265638207785714
64,0.276310228285714
65,0.286982249
66,0.296174978714286
67,0.306846999428571
68,0.315934065785714
69,0.325126796285714
70,0.335798817
71,0.344093406357143
72,0.352673679703704
73,0.361823362
74,0.370984784285714
75,0.38091716
76,0.389370244714286
77,0.397490685851852
78,0.406202060296296
79,0.415363482392857
80,0
